------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 25790
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 37328 connected with 10.0.0.2 port 5002 (ct=2346.57 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   139 KBytes  1.14 Mbits/sec  2/1          1       14K/2347000 us  0.06
[  5] 1.0000-2.0000 sec   141 KBytes  1.16 Mbits/sec  2/0          0       28K/1662215 us  0.09
[  5] 2.0000-3.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       28K/1662215 us  0.00
[  5] 3.0000-4.0000 sec   137 KBytes  1.12 Mbits/sec  2/0          0       42K/1232119 us  0.11
[  5] 4.0000-5.0000 sec   383 KBytes  3.14 Mbits/sec  3/0          0       74K/628776 us  0.62
[  5] 5.0000-6.0000 sec   762 KBytes  6.24 Mbits/sec  7/0          0      111K/567807 us  1.37
[  5] 6.0000-7.0000 sec   509 KBytes  4.17 Mbits/sec  5/0          0      190K/863374 us  0.60
[  5] 7.0000-8.0000 sec   255 KBytes  2.09 Mbits/sec  2/0          0      222K/1414599 us  0.18
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          4      222K/1567102 us  0.12
[  5] 9.0000-10.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          6      213K/1553347 us  0.00
[  5] 10.0000-11.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          4      229K/1505845 us  0.00
[  5] 11.0000-12.0000 sec   318 KBytes  2.61 Mbits/sec  3/1         10      237K/1384815 us  0.24
[  5] 12.0000-13.0000 sec  0.00 Bytes  0.00 bits/sec  0/2         16      237K/1586828 us  0.00
[  5] 13.0000-14.0000 sec   445 KBytes  3.65 Mbits/sec  4/0          0      169K/1346358 us  0.34
[  5] 14.0000-15.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      169K/699564 us  0.19
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       84K/581946 us  0.34
[  5] 16.0000-17.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       84K/475758 us  0.00
[  5] 17.0000-18.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       79K/692225 us  0.19
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       73K/780185 us  0.17
[  5] 19.0000-20.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       73K/681409 us  0.19
[  5] 20.0000-21.0000 sec  0.00 Bytes  0.00 bits/sec  0/1          0       73K/698136 us  0.00
[  5] 21.0000-22.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       74K/698885 us  0.19
[  5] 22.0000-23.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       70K/744640 us  0.18
[  5] 23.0000-24.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       70K/713198 us  0.09
[  5] 24.0000-25.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       70K/735911 us  0.18
[  5] 25.0000-26.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       70K/733722 us  0.09
[  5] 26.0000-27.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0        5K/762155 us  0.26
[  5] 27.0000-28.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       96K/498412 us  0.00
[  5] 28.0000-29.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       96K/681439 us  0.10
[  5] 29.0000-30.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       90K/870512 us  0.07
[  5] 30.0000-31.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       84K/887563 us  0.15
[  5] 31.0000-32.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       87K/880842 us  0.07
[  5] 32.0000-33.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       84K/899878 us  0.14
[  5] 33.0000-34.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       84K/866146 us  0.08
[  5] 34.0000-35.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       87K/902352 us  0.14
[  5] 35.0000-36.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       19K/63601 us  3.07
[  5] 36.0000-37.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/152062 us  1.29
[  5] 37.0000-38.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/122284 us  1.60
[  5] 38.0000-39.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       16K/100105 us  1.95
[  5] 39.0000-40.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/126485 us  1.55
[  5] 40.0000-41.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       22K/125037 us  1.04
