------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 24030
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 55692 connected with 10.0.0.2 port 5001 (ct=50.71 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec  1.10 MBytes  9.27 Mbits/sec  9/0          0       28K/52249 us  22.17
[  5] 1.0000-2.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0      257K/685520 us  1.62
[  5] 2.0000-3.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          0      432K/1189857 us  0.99
[  5] 3.0000-4.0000 sec   127 KBytes  1.04 Mbits/sec  1/1         56      309K/1610206 us  0.08
[  5] 4.0000-5.0000 sec  0.00 Bytes  0.00 bits/sec  0/1        126      267K/1607071 us  0.00
[  5] 5.0000-6.0000 sec  63.6 KBytes   521 Kbits/sec  1/1         12      250K/1607071 us  0.04
[  5] 6.0000-7.0000 sec   255 KBytes  2.09 Mbits/sec  3/0         64      173K/918370 us  0.28
[  5] 7.0000-8.0000 sec   445 KBytes  3.65 Mbits/sec  4/1         13      162K/906579 us  0.50
[  5] 8.0000-9.0000 sec   318 KBytes  2.61 Mbits/sec  3/0          0      134K/894114 us  0.36
[  5] 9.0000-10.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      135K/767430 us  0.25
[  5] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      137K/775355 us  0.25
[  5] 11.0000-12.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      139K/787267 us  0.25
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      141K/799396 us  0.24
[  5] 13.0000-14.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      142K/809551 us  0.24
[  5] 14.0000-15.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      144K/817701 us  0.16
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      145K/1001820 us  0.20
[  5] 16.0000-17.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      147K/1229997 us  0.11
[  5] 17.0000-18.0000 sec   127 KBytes  1.04 Mbits/sec  1/1          0      148K/1478543 us  0.09
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      149K/849181 us  0.15
[  5] 19.0000-20.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0      151K/974709 us  0.13
[  5] 20.0000-21.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      152K/948885 us  0.14
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      154K/871974 us  0.22
[  5] 22.0000-23.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      155K/881469 us  0.22
[  5] 23.0000-24.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      156K/887113 us  0.22
[  5] 24.0000-25.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      158K/895597 us  0.22
[  5] 25.0000-26.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      161K/905066 us  0.14
[  5] 26.0000-27.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      162K/914929 us  0.21
[  5] 27.0000-28.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      164K/926556 us  0.21
[  5] 28.0000-29.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      165K/934568 us  0.21
[  5] 29.0000-30.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      166K/945822 us  0.21
[  5] 30.0000-31.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      168K/951674 us  0.14
[  5] 31.0000-32.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      169K/962313 us  0.20
[  5] 32.0000-33.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      171K/996654 us  0.20
[  5] 33.0000-34.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      172K/976913 us  0.20
[  5] 34.0000-35.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      173K/999463 us  0.20
[  5] 35.0000-36.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      175K/993956 us  0.13
[  5] 36.0000-37.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      176K/1036066 us  0.19
[  5] 37.0000-38.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      178K/1074089 us  0.18
[  5] 38.0000-39.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      179K/1019061 us  0.13
