PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=253 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=348 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=439 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=566 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=955 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1075 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1176 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1267 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1353 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1444 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1441 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1424 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1390 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1389 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1358 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1395 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1401 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1399 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1377 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1366 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1352 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=1301 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1257 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1200 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=1148 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1103 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1051 ms
